Отметка времени,Ваш возраст?,Ваша сфера деятельности?,Как часто вы работаете с персональными данными?,Знаете ли вы о законе персональных данных?,Отправляли ли вы документы с ПД через мессенджеры?,Обрабатываете ли вы данные перед отправкой ?,Я переживаю за утечку своих персональных данных ,Удалять данные вручную неудобно ,"Насколько был бы полезен сервис, который автоматически скрывает ПД.",Стали бы вы пользоваться таким сервисом ,Приходилось ли вам получать документы с чужими персональными данными?,"Проверяете ли вы, какие данные содержатся в документе перед отправкой?",Какие данные вы считаете наиболее чувствительными?,Доверяете ли вы мессенджерам при передаче документов?,Используете ли вы пароли или архивы при отправке документов?,Случалось ли вам случайно отправить документ не тому человеку?,Как вы оцениваете уровень защиты персональных данных в вашей стране?,Насколько удобно вам пользоваться существующими способами защиты данных?,Доверили бы вы свои документы Telegram-боту?,Что вас больше всего беспокоит при использовании таких сервисов?
5/4/2026 1:01:22,18-24,Студент,Иногда,Да,Да,Да,5,5,5,Да,Да,Всегда,Банковские данные,Да,Да,Да,5,5,Нет,Утечка данных
5/4/2026 1:01:28,25-34,Другое,Никогда,Нет,Иногда,Нет,1,1,1,Возможно,Иногда,Всегда,Банковские данные,Да,Иногда,Да,1,1,Нет,Утечка данных
5/4/2026 1:02:00,18-24,Студент,Иногда,Слышал(а),Да,Да,5,5,5,Да,Нет,Всегда,Банковские данные,Нет,Иногда,Нет,4,4,Возможно,Утечка данных
5/4/2026 1:02:02,18-24,Студент,Часто,Да,Да,Да,5,5,5,Да,Да,Всегда,Банковские данные,Да,Да,Да,5,5,Возможно,Утечка данных
5/4/2026 1:02:18,25-34,Другое,Часто,Да,Да,Нет,5,1,5,Возможно,Да,Всегда,Банковские данные,Частично,Нет,Да,1,1,Нет,Ошибки обработки
5/4/2026 1:03:22,18-24,Юриспруденция,Часто,Да,Да,Да,3,3,3,Да,Да,Иногда,ИИН,Нет,Нет,Да,3,2,Да,Утечка данных
5/4/2026 1:08:57,18-24,Студент,Часто,Да,Да,Нет,3,5,5,Да,Нет,Всегда,Банковские данные,Частично,Нет,Нет,3,3,Нет,Утечка данных
5/4/2026 1:13:59,18-24,Студент,Иногда,Да,Да,Иногда,3,5,4,Да,Да,Всегда,ИИН,Нет,Нет,Да,3,4,Нет,Утечка данных
5/4/2026 1:17:23,18-24,Студент,Иногда,Да,Да,Иногда,5,5,5,Да,Да,Всегда,ИИН,Частично,Иногда,Нет,2,3,Да,Утечка данных
5/4/2026 1:18:36,18-24,Другое,Часто,Да,Да,Да,2,5,5,Возможно,Иногда,Всегда,Банковские данные,Частично,Нет,Нет,3,1,Нет,Сложность использования
5/4/2026 1:19:19,18-24,Студент,Иногда,Нет,Да,Да,3,3,4,Да,Иногда,Всегда,Адрес,Да,Нет,Да,2,3,Нет,Ошибки обработки
5/4/2026 1:21:44,18-24,Другое,Часто,Да,Да,Да,5,3,4,Да,Да,Всегда,Банковские данные,Частично,Иногда,Нет,4,4,Нет,Утечка данных
5/4/2026 1:24:41,18-24,IT,Часто,Слышал(а),Нет,Нет,5,5,5,Да,Нет,Всегда,Банковские данные,Нет,Нет,Нет,3,3,Нет,Утечка данных
5/4/2026 1:30:08,18-24,Другое,Часто,Да,Да,Нет,1,2,5,Да,Нет,Иногда,Банковские данные,Да,Нет,Да,3,5,Возможно,Утечка данных
5/4/2026 1:48:15,18-24,Другое,Редко,Да,Да,Иногда,5,5,5,Да,Нет,Всегда,Банковские данные,Нет,Нет,Да,1,1,Нет,Утечка данных
5/4/2026 2:00:40,18-24,Студент,Иногда,Слышал(а),Нет,Нет,4,3,4,Да,Да,Всегда,ИИН,Да,Иногда,Да,3,3,Возможно,Сложность использования
